calendar_year,detention_center_name,detention_center_state,detention_center_type,latitude,longitude,deaths_n
2005,Laredo Processing Center,TX,Private,27.529476,-99.447773,1
2005,McHenry County Adult Correctional Facility,IL,Public,42.337002,-88.443168,1
2005,Monmouth County Jail,NJ,Public,40.267897,-74.286962,1
2005,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,2
2005,Passaic County Jail,NJ,Public,40.913016,-74.174113,1
2005,San Pedro Service Processing Center,CA,Public,33.7272854,-118.269007,1
2005,Tensas Parish Detention Center,LA,Private,31.808719,-91.397103,1
2006,Albuquerque Regional Correctional Center,NM,Private,35.089343,-106.651437,1
2006,Eloy Detention Center,AZ,Private,32.817677,-111.51927,2
2006,FMC Devens,MA,Public,42.529248,-71.613805,1
2006,FMC Springfield,MO,Public,37.177542,-93.323273,2
2006,Houston Contract Detention Facility,TX,Private,29.950836,-95.312188,1
2006,Lerdo Pre-Trial Facility,CA,Public,35.653064,-119.107939,2
2006,Mira Loma Detention Center,CA,Public,34.701656,-118.233176,1
2006,Newton County Correctional Center,TX,Private,30.8667431,-93.7355571,1
2006,Northwest ICE Processing Center,WA,Private,47.25021,-122.422663,1
2006,Oakdale Federal Detention Center,LA,Public,30.820701,-92.640691,1
2006,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2006,Piedmont Regional Jail,VA,Public,37.320601,-78.425392,1
2006,Ramsey County Adult Detention Center,MN,Public,44.955749,-93.089261,1
2006,San Pedro Service Processing Center,CA,Public,33.7272854,-118.269007,1
2006,Suffolk House of Correction,MA,Public,42.332922,-71.070939,1
2007,Bergen County Jail,NJ,Public,40.873873,-74.039042,1
2007,El Paso Service Processing Center,TX,Private,31.796447,-106.369651,2
2007,Elizabeth Contract Detention Facility,NJ,Private,40.666157,-74.189694,1
2007,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2007,Mira Loma Detention Center,CA,Public,34.701656,-118.233176,1
2007,Providence ICE ERO Hold Room,RI,NA,41.726973,-71.457116,1
2007,San Pedro Service Processing Center,CA,Public,33.7272854,-118.269007,1
2008,Basile Detention Center,LA,Private,30.486577,-92.583366,1
2008,Eloy Detention Center,AZ,Private,32.817677,-111.51927,2
2008,FMC Springfield,MO,Public,37.177542,-93.323273,1
2008,Glades County Detention Center,FL,Public,26.838714,-81.124018,1
2008,Lasalle Correctional Center,LA,Private,31.85131,-92.28482,1
2008,Lemuel Shattuck Hospital,MA,Public,42.29991,-71.10634,1
2008,Lerdo Pre-Trial Facility,CA,Public,35.653064,-119.107939,1
2008,Middlesex County Jail,NJ,Public,40.421388,-74.488991,1
2008,Otero County Processing Center,NM,Private,32.08042,-106.28262,1
2008,Perry County Correctional Center,AL,Private,32.634284,-87.316173,1
2008,Piedmont Regional Jail,VA,Public,37.320601,-78.425392,1
2008,Pinal County Jail,AZ,Public,33.041291,-111.376034,1
2008,Rolling Plains Detention Center,TX,Private,33.176272,-99.721789,1
2008,Stewart Detention Center,GA,Private,32.036676,-84.771746,1
2008,Wyatt Detention Center,RI,Private,41.892811,-71.3832,1
2009,Columbia Care Center,SC,Private,34.075744,-80.979724,2
2009,Lasalle Correctional Center,LA,Private,31.85131,-92.28482,1
2009,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2009,Port Isabel Service Processing Center,TX,Private,26.157941,-97.35047,1
2009,Stewart Detention Center,GA,Private,32.036676,-84.771746,1
2009,Suffolk House of Correction,MA,Public,42.332922,-71.070939,1
2009,Tensas Parish Detention Center,LA,Private,31.808719,-91.397103,1
2009,Wakulla County Jail,FL,Public,30.196089,-84.376921,1
2009,York County Prison,PA,Public,39.987597,-76.663603,1
2010,Broadview ICE Facility,IL,Private,41.868522,-87.86562,1
2010,Columbia Care Center,SC,Private,34.075744,-80.979724,1
2010,FCI Butner,NC,Public,36.187179,-78.740535,1
2010,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,1
2010,Mira Loma Detention Center,CA,Public,34.701656,-118.233176,1
2010,Oakdale Federal Detention Center,LA,Public,30.820701,-92.640691,2
2010,Orleans Parish Prison,LA,Public,29.961463,-90.093506,1
2010,York County Prison,PA,Public,39.987597,-76.663603,1
